s,kappa,dt,refline/x,refline/y,refline/z,refline/v,inner_edge/x,inner_edge/y,outer_edge/x,outer_edge/y,e_min,e_max,image,image_metadata,seq_num,course_id,name,t
2087.0,0.00681815903099674,0.12034608141084611,-781.7201465781854,-380.1659026523899,61.9692354956642,36.22760468660567,-784.7321317043703,-380.23795982828386,-776.6456026865212,-380.0536699629998,-5.076103788980565,3.0130440889279364,,,8,1,8,73.54078100509739
2088.0,0.0068243460156501715,0.11976321986481449,-781.7455553555512,-379.15481132443045,61.9692354956642,36.20570392629218,-784.5653654497743,-379.2009441591887,-776.4993746168476,-379.0732809373677,-5.246949661317719,2.820279895362824,,,8,1,8,73.57695295184438
2089.0,0.006831484818961435,0.11921499005126072,-781.7569898917185,-378.1445423746509,61.9692354956642,36.183989868335445,-784.3983104000083,-378.1699531774543,-776.3459856332246,-378.0981092850838,-5.411422291137841,2.641529108297652,,,8,1,8,73.61281199472201
2090.0,0.006839268124945729,0.11869021033922583,-781.7589620836336,-377.13483027982545,61.9692354956642,36.162402231695424,-784.2310597990652,-377.14304167774765,-776.1877477972034,-377.12647046023653,-5.571579422617697,2.4722671853907716,,,8,1,8,73.64845916175695
2091.0,0.006847051430930024,0.11816543062719094,-781.7609342755486,-376.125118185,61.9692354956642,36.14081459505541,-784.063809198122,-376.116130178041,-776.0295099611822,-376.1548316353893,-5.731736554097553,2.3030052624838913,,,8,1,8,73.6841063287919
2092.0,0.006854183610701889,0.11775771455593875,-781.7559922971683,-375.1158452011914,61.9692354956642,36.118666128350775,-783.8958308941691,-375.0916674544471,-775.8722560054815,-375.18561823698195,-5.884281923954274,2.1400117033444386,,,8,1,8,73.71971741759282
2093.0,0.006859735666568101,0.11763408328077166,-781.7342713202419,-374.1076378323153,61.9692354956642,36.09515666438448,-783.726086633171,-374.0731473109576,-775.7173896864401,-374.22229075473945,-6.0183554119004485,1.9922299284169775,,,8,1,8,73.7552409533526
2094.0,0.0068652877224343115,0.11751045200560457,-781.7125503433155,-373.0994304634392,61.9692354956642,36.0716472004182,-783.5563423721729,-373.0546271674681,-775.5625233673987,-373.258963272497,-6.1524288998466234,1.8444481534895167,,,8,1,8,73.79076448911239
2095.0,0.006870839778300522,0.11738682073043749,-781.6908293663892,-372.0912230945631,61.9692354956642,36.048137736451906,-783.3865981111749,-372.03610702397856,-775.4076570483574,-372.2956357902545,-6.286502387792798,1.696666378562056,,,8,1,8,73.82628802487217
2096.0,0.006864894240759701,0.11764243202033338,-781.6460371397538,-371.08483291820454,61.9692354956642,36.01376429809566,-783.2109848283638,-371.02514544653167,-775.2443870138032,-371.33935035006976,-6.407067535532915,1.5661605466662667,,,8,1,8,73.86206873153596
